nohup: ignoring input
{"step": 1, "loss": 3.7549400329589844, "train_mean_reward": 0.6097690104166666, "eval_mean_reward": 0.5962990079365079}
{"step": 10, "loss": 2.854768991470337, "train_mean_reward": 0.5654863932291667, "eval_mean_reward": 0.5746570436507936}
{"step": 20, "loss": 2.2852208614349365, "train_mean_reward": 0.7239574869791664, "eval_mean_reward": 0.6593100198412699}
{"step": 30, "loss": 1.748551845550537, "train_mean_reward": 0.8224524088541665, "eval_mean_reward": 0.7235862103174604}
{"step": 40, "loss": 1.3311150074005127, "train_mean_reward": 0.8734272135416666, "eval_mean_reward": 0.7211228174603175}
{"step": 50, "loss": 0.976779580116272, "train_mean_reward": 0.9098445963541669, "eval_mean_reward": 0.7652823412698412}
{"step": 60, "loss": 0.8192644715309143, "train_mean_reward": 0.9403133463541667, "eval_mean_reward": 0.7963219246031746}
{"step": 70, "loss": 0.68690025806427, "train_mean_reward": 0.9489070963541668, "eval_mean_reward": 0.824670138888889}
{"step": 80, "loss": 0.6376350522041321, "train_mean_reward": 0.9560940104166669, "eval_mean_reward": 0.8336275793650795}
{"step": 90, "loss": 0.6761963963508606, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8336275793650795}
{"step": 100, "loss": 0.5543505549430847, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.8336275793650795}
{"step": 110, "loss": 0.5661919713020325, "train_mean_reward": 0.9662502604166667, "eval_mean_reward": 0.8338647817460318}
{"step": 120, "loss": 0.5864296555519104, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8421981150793653}
{"step": 130, "loss": 0.5432136058807373, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8431513888888892}
{"step": 140, "loss": 0.5390243530273438, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8433885912698416}
{"step": 150, "loss": 0.5561081767082214, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8433885912698416}
{"step": 160, "loss": 0.5592058300971985, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8433885912698416}
{"step": 170, "loss": 0.5382989645004272, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8517219246031749}
{"step": 180, "loss": 0.5150967240333557, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8517219246031749}
{"step": 190, "loss": 0.5113399028778076, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8433885912698416}
{"step": 200, "loss": 0.5127338767051697, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8517219246031749}
{"step": 210, "loss": 0.5322024822235107, "train_mean_reward": 0.9685940104166666, "eval_mean_reward": 0.8517219246031749}
{"step": 220, "loss": 0.5428825616836548, "train_mean_reward": 0.9701565104166666, "eval_mean_reward": 0.8517219246031749}
{"step": 230, "loss": 0.5240812301635742, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8517219246031749}
{"step": 240, "loss": 0.52653568983078, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8517219246031749}
{"step": 250, "loss": 0.48945602774620056, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8620439484126986}
{"step": 260, "loss": 0.5108022093772888, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8620439484126986}
{"step": 270, "loss": 0.5326873660087585, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8620439484126986}
{"step": 280, "loss": 0.529212474822998, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8620439484126986}
{"step": 290, "loss": 0.5281022787094116, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8620439484126986}
{"step": 300, "loss": 0.5000982880592346, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8620439484126986}
{"step": 310, "loss": 0.49404534697532654, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8620439484126986}
{"step": 320, "loss": 0.5075672268867493, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8620439484126986}
{"step": 330, "loss": 0.5345182418823242, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8620439484126986}
{"step": 340, "loss": 0.4929948151111603, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8620439484126986}
{"step": 350, "loss": 0.4902738630771637, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8620439484126986}
{"step": 360, "loss": 0.5136134028434753, "train_mean_reward": 0.9709377604166667, "eval_mean_reward": 0.8620439484126986}
{"step": 370, "loss": 0.5055654048919678, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8620439484126986}
{"step": 380, "loss": 0.48682329058647156, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8620439484126986}
{"step": 390, "loss": 0.5408433675765991, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8620439484126986}
{"step": 400, "loss": 0.5133500099182129, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.870377281746032}
{"step": 410, "loss": 0.5268282890319824, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.870377281746032}
{"step": 420, "loss": 0.5214313864707947, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.870377281746032}
{"step": 430, "loss": 0.5430496335029602, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.870377281746032}
{"step": 440, "loss": 0.5373333096504211, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.870377281746032}
{"step": 450, "loss": 0.479805588722229, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.870377281746032}
{"step": 460, "loss": 0.5017765760421753, "train_mean_reward": 0.963906510416667, "eval_mean_reward": 0.870377281746032}
{"step": 470, "loss": 0.5014653205871582, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.870377281746032}
